example_id                                                                               | status  | run_time               |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:5:1:3:1]           | passed  | 0.02202 seconds        |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:5:2:1:1]           | failed  | 0.01991 seconds        |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:5:2:1:2]           | failed  | 0.01696 seconds        |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:5:2:2:1]           | failed  | 0.0192 seconds         |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:5:2:3:1]           | failed  | 0.02569 seconds        |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:6:1:1:1]           | passed  | 0.01833 seconds        |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:6:1:1:2]           | passed  | 0.01798 seconds        |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:6:1:2:1]           | passed  | 0.01829 seconds        |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:6:1:3:1]           | passed  | 0.01852 seconds        |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:6:2:1:1]           | failed  | 0.0146 seconds         |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:6:2:1:2]           | failed  | 0.01488 seconds        |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:6:2:2:1]           | failed  | 0.01485 seconds        |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:7:1:1:1]           | failed  | 0.02705 seconds        |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:7:1:1:2]           | failed  | 0.02967 seconds        |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:7:1:2:1]           | failed  | 0.1269 seconds         |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:7:1:3:1]           | failed  | 0.02811 seconds        |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:7:2:1:1]           | passed  | 0.05487 seconds        |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:7:2:1:2]           | failed  | 0.04487 seconds        |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:7:2:2:1]           | passed  | 0.13043 seconds        |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:7:3:1]             | passed  | 0.04327 seconds        |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:8:1]               | passed  | 0.012 seconds          |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:8:2]               | passed  | 0.01192 seconds        |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:9:1:1]             | failed  | 0.0123 seconds         |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:9:1:2]             | failed  | 0.01308 seconds        |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:9:1:3]             | failed  | 0.01634 seconds        |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:9:2:1]             | passed  | 0.01046 seconds        |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:9:3:1]             | failed  | 0.01439 seconds        |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:9:4:1]             | failed  | 0.01139 seconds        |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:9:5:1]             | failed  | 0.0104 seconds         |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:9:6:1]             | failed  | 0.01065 seconds        |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:9:7:1]             | passed  | 0.01116 seconds        |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:9:7:2]             | passed  | 0.01025 seconds        |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:10:1:1]            | passed  | 0.01882 seconds        |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:10:1:2]            | passed  | 0.01677 seconds        |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:10:2:1]            | passed  | 0.0165 seconds         |
./spec/controllers/admin_controllers/inventories_controller_spec.rb[1:10:2:2]            | passed  | 0.01769 seconds        |
./spec/controllers/admin_controllers/job_statuses_controller_spec.rb[1:1:1:1:1]          | passed  | 0.01821 seconds        |
./spec/controllers/admin_controllers/job_statuses_controller_spec.rb[1:1:1:2:1]          | failed  | 0.01955 seconds        |
./spec/controllers/admin_controllers/job_statuses_controller_spec.rb[1:1:1:3:1]          | passed  | 0.01999 seconds        |
./spec/controllers/admin_controllers/job_statuses_controller_spec.rb[1:1:2:1]            | passed  | 0.02148 seconds        |
./spec/controllers/admin_controllers/job_statuses_controller_spec.rb[1:1:3:1]            | failed  | 0.03505 seconds        |
./spec/controllers/admin_controllers/job_statuses_controller_spec.rb[1:2:1]              | passed  | 0.01499 seconds        |
./spec/controllers/admin_controllers/job_statuses_controller_spec.rb[1:2:2]              | passed  | 0.01545 seconds        |
./spec/controllers/admin_controllers/job_statuses_controller_spec.rb[1:3:1]              | passed  | 0.02214 seconds        |
